Week,Category,Working Title,Question Number,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Answer Explanation / Fun Fact,Source / Fact-Check Notes,Publish Status,Editor Notes
9,Music,"America 250 Quiz: Test yourself on jazz, rock, country and American sound",6,"Which musician is closely associated with the trumpet and the song ""What a Wonderful World""?",Louis Armstrong,Miles Davis,Dizzy Gillespie,John Coltrane,A. Louis Armstrong,Louis Armstrong was a legendary jazz trumpeter and singer.,Verify with Louis Armstrong House Museum.,Drafted - needs final fact-check,
9,Music,"America 250 Quiz: Test yourself on jazz, rock, country and American sound",7,Which festival took place in upstate New York in 1969 and became a symbol of the counterculture era?,Monterey Pop,Woodstock,Newport Folk Festival,Live Aid,B. Woodstock,Woodstock drew hundreds of thousands of people in August 1969.,Verify with Bethel Woods Center for the Arts.,Drafted - needs final fact-check,
9,Music,"America 250 Quiz: Test yourself on jazz, rock, country and American sound",8,Which singer was called the Queen of Soul?,Ella Fitzgerald,Aretha Franklin,Dolly Parton,Patsy Cline,B. Aretha Franklin,Aretha Franklin earned the title Queen of Soul through her influential recordings and performances.,Verify with Rock and Roll Hall of Fame.,Drafted - needs final fact-check,
9,Music,"America 250 Quiz: Test yourself on jazz, rock, country and American sound",9,Which city is strongly associated with the birth of Motown Records?,Memphis,Detroit,Chicago,Philadelphia,B. Detroit,Berry Gordy founded Motown Records in Detroit.,Verify with Motown Museum.,Drafted - needs final fact-check,
9,Music,"America 250 Quiz: Test yourself on jazz, rock, country and American sound",10,"Which American folk singer wrote ""This Land Is Your Land""?",Pete Seeger,Woody Guthrie,Bob Dylan,Lead Belly,B. Woody Guthrie,"Woody Guthrie wrote ""This Land Is Your Land"" in 1940.",Verify with Woody Guthrie Center; Library of Congress.,Drafted - needs final fact-check,
10,Food,America 250 Quiz: Test yourself on iconic bites and American food firsts,1,"Which dessert is often described in the phrase ""as American as""?",Apple pie,Cannoli,Baklava,Tiramisu,A. Apple pie,"Apple pie became a familiar symbol of American home cooking, even though pies have older roots abroad.",Verify with Smithsonian food history resources.,Drafted - needs final fact-check,
10,Food,America 250 Quiz: Test yourself on iconic bites and American food firsts,2,Which city is famous for deep-dish pizza?,New York,Chicago,Philadelphia,New Orleans,B. Chicago,Chicago is closely associated with deep-dish pizza.,Verify with local food history sources; Chicago History Museum.,Drafted - needs final fact-check,
10,Food,America 250 Quiz: Test yourself on iconic bites and American food firsts,3,Which sandwich is strongly associated with Philadelphia?,Po' boy,Cheesesteak,Lobster roll,Muffuletta,B. Cheesesteak,The cheesesteak is one of Philadelphia's best-known foods.,Verify with Philadelphia tourism/history sources.,Drafted - needs final fact-check,
10,Food,America 250 Quiz: Test yourself on iconic bites and American food firsts,4,Which state is famous for Key lime pie?,Maine,Florida,Texas,Oregon,B. Florida,Key lime pie is closely associated with the Florida Keys.,Verify with Florida state food history sources.,Drafted - needs final fact-check,
10,Food,America 250 Quiz: Test yourself on iconic bites and American food firsts,5,"Which brand introduced the first McDonald's franchise opened by Ray Kroc in Des Plaines, Illinois?",Burger King,McDonald's,Wendy's,White Castle,B. McDonald's,"Ray Kroc opened a McDonald's restaurant in Des Plaines in 1955, helping expand the chain.",Verify with McDonald's corporate history.,Drafted - needs final fact-check,
10,Food,America 250 Quiz: Test yourself on iconic bites and American food firsts,6,Which New England food is traditionally made with clams and potatoes in a creamy broth?,Gumbo,Clam chowder,Jambalaya,Brunswick stew,B. Clam chowder,New England clam chowder is usually cream-based and includes clams and potatoes.,Verify with regional food history sources.,Drafted - needs final fact-check,
10,Food,America 250 Quiz: Test yourself on iconic bites and American food firsts,7,"Which Louisiana dish commonly includes rice, meat or seafood, vegetables and Creole or Cajun seasonings?",Jambalaya,Scrapple,Cincinnati chili,Fry bread,A. Jambalaya,"Jambalaya is a signature Louisiana rice dish with Spanish, French and West African influences.",Verify with Louisiana food history sources.,Drafted - needs final fact-check,
10,Food,America 250 Quiz: Test yourself on iconic bites and American food firsts,8,"Which U.S. city is closely associated with the hot dog style topped with mustard, onions, relish, tomato, pickle, peppers and celery salt?",Chicago,Boston,Atlanta,San Diego,A. Chicago,The Chicago-style hot dog is known for its distinctive toppings and poppy seed bun.,Verify with Chicago food history sources.,Drafted - needs final fact-check,
10,Food,America 250 Quiz: Test yourself on iconic bites and American food firsts,9,Which state is famous for lobster rolls?,Maine,Arizona,Kansas,Nevada,A. Maine,Maine is strongly associated with lobster and lobster rolls.,Verify with Maine tourism and food history sources.,Drafted - needs final fact-check,
10,Food,America 250 Quiz: Test yourself on iconic bites and American food firsts,10,"Which breakfast cereal was created by the Kellogg brothers in Battle Creek, Michigan?",Corn Flakes,Cheerios,Frosted Mini-Wheats,Cap'n Crunch,A. Corn Flakes,Corn Flakes grew out of the Kellogg brothers' work in Battle Creek.,Verify with Kellogg company history; local museum sources.,Drafted - needs final fact-check,
11,Sports,"America 250 Quiz: Test yourself on champions, stadiums and great games",1,Which sport calls its championship the World Series?,Football,Baseball,Basketball,Hockey,B. Baseball,Major League Baseball's championship is the World Series.,Verify with MLB.,Drafted - needs final fact-check,
11,Sports,"America 250 Quiz: Test yourself on champions, stadiums and great games",2,Which athlete broke Major League Baseball's color barrier in 1947?,Willie Mays,Jackie Robinson,Hank Aaron,Satchel Paige,B. Jackie Robinson,Jackie Robinson debuted for the Brooklyn Dodgers in 1947.,Verify with MLB; National Baseball Hall of Fame.,Drafted - needs final fact-check,
11,Sports,"America 250 Quiz: Test yourself on champions, stadiums and great games",3,"Which city hosted the 1980 Winter Olympics and the ""Miracle on Ice""?",Salt Lake City,Lake Placid,Squaw Valley,Denver,B. Lake Placid,The U.S. hockey team defeated the Soviet team at Lake Placid in 1980.,Verify with Olympic records; Lake Placid Olympic Museum.,Drafted - needs final fact-check,
11,Sports,"America 250 Quiz: Test yourself on champions, stadiums and great games",4,"Which boxer was known as ""The Greatest""?",Joe Louis,Muhammad Ali,Mike Tyson,George Foreman,B. Muhammad Ali,Muhammad Ali called himself The Greatest and became one of the most famous athletes in the world.,Verify with Smithsonian; Muhammad Ali Center.,Drafted - needs final fact-check,
11,Sports,"America 250 Quiz: Test yourself on champions, stadiums and great games",5,Which trophy is awarded to the NFL's Super Bowl champion?,Stanley Cup,Vince Lombardi Trophy,Commissioner's Trophy,Heisman Trophy,B. Vince Lombardi Trophy,The Vince Lombardi Trophy is awarded to the Super Bowl winner.,Verify with NFL.,Drafted - needs final fact-check,
11,Sports,"America 250 Quiz: Test yourself on champions, stadiums and great games",6,Which university football game is known simply as the Army-Navy Game?,Army vs. Navy,Harvard vs. Yale,Alabama vs. Auburn,Michigan vs. Ohio State,A. Army vs. Navy,The Army-Navy Game is the annual football rivalry between the U.S. Military Academy and U.S. Naval Academy.,Verify with Army-Navy Game official history.,Drafted - needs final fact-check,
11,Sports,"America 250 Quiz: Test yourself on champions, stadiums and great games",7,Which American track star won three gold medals at the 1960 Rome Olympics?,Wilma Rudolph,Babe Didrikson Zaharias,Alice Coachman,Florence Griffith Joyner,A. Wilma Rudolph,"Wilma Rudolph won gold in the 100 meters, 200 meters and 4x100-meter relay at the 1960 Olympics.",Verify with Olympics records; Smithsonian.,Drafted - needs final fact-check,
11,Sports,"America 250 Quiz: Test yourself on champions, stadiums and great games",8,Who was the first Black woman to win an Olympic gold medal?,Wilma Rudolph,Alice Coachman,Florence Griffith Joyner,Althea Gibson,B. Alice Coachman,Alice Coachman won gold in the high jump at the 1948 London Olympics.,Verify with Olympics records; Smithsonian.,Drafted - needs final fact-check,
11,Sports,"America 250 Quiz: Test yourself on champions, stadiums and great games",9,"Which golfer is associated with popularizing the sport on television as ""The King""?",Jack Nicklaus,Arnold Palmer,Tiger Woods,Ben Hogan,B. Arnold Palmer,Arnold Palmer's charisma and televised success helped grow golf's popularity.,Verify with USGA; World Golf Hall of Fame.,Drafted - needs final fact-check,
11,Sports,"America 250 Quiz: Test yourself on champions, stadiums and great games",10,Which basketball league features the Boston Celtics and Los Angeles Lakers?,NBA,NFL,NHL,MLB,A. NBA,The Celtics and Lakers are two of the NBA's most storied franchises.,Verify with NBA.,Drafted - needs final fact-check,
12,First Ladies,America 250 Quiz: Test yourself on first ladies and their legacies,1,Who was the first first lady of the United States?,Abigail Adams,Martha Washington,Dolley Madison,Martha Jefferson,B. Martha Washington,Martha Washington became the nation's first first lady when George Washington became president.,Verify with White House Historical Association; Mount Vernon.,Drafted - needs final fact-check,
12,First Ladies,America 250 Quiz: Test yourself on first ladies and their legacies,2,Which first lady helped save a portrait of George Washington before British troops burned the White House in 1814?,Martha Washington,Dolley Madison,Abigail Fillmore,Louisa Adams,B. Dolley Madison,Dolley Madison is famously associated with saving the Washington portrait during the War of 1812.,Verify with White House Historical Association.,Drafted - needs final fact-check,
12,First Ladies,America 250 Quiz: Test yourself on first ladies and their legacies,3,Which first lady was a major advocate for human rights and later served at the United Nations?,Eleanor Roosevelt,Mamie Eisenhower,Bess Truman,Grace Coolidge,A. Eleanor Roosevelt,Eleanor Roosevelt chaired the U.N. commission that drafted the Universal Declaration of Human Rights.,Verify with FDR Library; United Nations.,Drafted - needs final fact-check,
12,First Ladies,America 250 Quiz: Test yourself on first ladies and their legacies,4,"Which first lady launched the ""Just Say No"" campaign?",Betty Ford,Nancy Reagan,Rosalynn Carter,Barbara Bush,B. Nancy Reagan,Nancy Reagan promoted the anti-drug campaign during the 1980s.,Verify with Reagan Library.,Drafted - needs final fact-check,
12,First Ladies,America 250 Quiz: Test yourself on first ladies and their legacies,5,Which first lady founded a namesake center focused on addiction treatment?,Betty Ford,Jacqueline Kennedy,Lady Bird Johnson,Pat Nixon,A. Betty Ford,Betty Ford helped establish the Betty Ford Center after speaking openly about addiction and recovery.,Verify with Betty Ford Center; Ford Library.,Drafted - needs final fact-check,
12,First Ladies,America 250 Quiz: Test yourself on first ladies and their legacies,6,Which first lady led a beautification campaign and advocated for wildflowers and highways?,Lady Bird Johnson,Mamie Eisenhower,Lou Hoover,Edith Wilson,A. Lady Bird Johnson,Lady Bird Johnson promoted beautification and environmental stewardship.,Verify with Lady Bird Johnson Wildflower Center.,Drafted - needs final fact-check,
12,First Ladies,America 250 Quiz: Test yourself on first ladies and their legacies,7,Which first lady restored and televised a tour of the White House in the early 1960s?,Jacqueline Kennedy,Eleanor Roosevelt,Grace Coolidge,Florence Harding,A. Jacqueline Kennedy,Jacqueline Kennedy led a major White House restoration and presented a televised tour in 1962.,Verify with JFK Library; White House Historical Association.,Drafted - needs final fact-check,
12,First Ladies,America 250 Quiz: Test yourself on first ladies and their legacies,8,Which first lady promoted childhood literacy through the Barbara Bush Foundation?,Barbara Bush,Laura Bush,Hillary Clinton,Michelle Obama,A. Barbara Bush,Barbara Bush made family literacy one of her signature causes.,Verify with Barbara Bush Foundation.,Drafted - needs final fact-check,
12,First Ladies,America 250 Quiz: Test yourself on first ladies and their legacies,9,"Which first lady led the ""Let's Move!"" initiative?",Laura Bush,Michelle Obama,Hillary Clinton,Jill Biden,B. Michelle Obama,Michelle Obama launched Let's Move! to encourage healthier eating and physical activity for children.,Verify with Obama White House archives.,Drafted - needs final fact-check,
12,First Ladies,America 250 Quiz: Test yourself on first ladies and their legacies,10,Which first lady was also elected to the U.S. Senate?,Hillary Clinton,Rosalynn Carter,Nancy Reagan,Laura Bush,A. Hillary Clinton,Hillary Clinton was elected U.S. senator from New York in 2000.,Verify with U.S. Senate; Clinton Library.,Drafted - needs final fact-check,
13,National Parks and Landmarks,"America 250 Quiz: Test yourself on parks, peaks and treasured places",1,Which national park was established first in 1872?,Yosemite,Yellowstone,Grand Canyon,Acadia,B. Yellowstone,Yellowstone became the first national park in 1872.,Verify with National Park Service.,Drafted - needs final fact-check,
13,National Parks and Landmarks,"America 250 Quiz: Test yourself on parks, peaks and treasured places",2,Which landmark was a gift from France to the United States?,Mount Rushmore,Statue of Liberty,Gateway Arch,Liberty Bell,B. Statue of Liberty,The Statue of Liberty was a gift from France and was dedicated in 1886.,Verify with National Park Service.,Drafted - needs final fact-check,
13,National Parks and Landmarks,"America 250 Quiz: Test yourself on parks, peaks and treasured places",3,Which canyon is protected as a national park in Arizona?,Bryce Canyon,Black Canyon,Grand Canyon,Canyonlands,C. Grand Canyon,Grand Canyon National Park protects one of the world's most famous natural landmarks.,Verify with National Park Service.,Drafted - needs final fact-check,
13,National Parks and Landmarks,"America 250 Quiz: Test yourself on parks, peaks and treasured places",4,Which monument features the carved faces of four presidents?,Lincoln Memorial,Mount Rushmore,Jefferson Memorial,Gateway Arch,B. Mount Rushmore,"Mount Rushmore depicts Washington, Jefferson, Theodore Roosevelt and Lincoln.",Verify with National Park Service.,Drafted - needs final fact-check,
13,National Parks and Landmarks,"America 250 Quiz: Test yourself on parks, peaks and treasured places",5,Which island in New York Harbor processed millions of immigrants?,Alcatraz,Ellis Island,Angel Island,Governors Island,B. Ellis Island,Ellis Island served as a major immigration station from 1892 to 1954.,Verify with National Park Service.,Drafted - needs final fact-check,
13,National Parks and Landmarks,"America 250 Quiz: Test yourself on parks, peaks and treasured places",6,Which national park is known for Half Dome and El Capitan?,Yosemite,Everglades,Zion,Glacier,A. Yosemite,Yosemite National Park in California is famous for granite landmarks including Half Dome and El Capitan.,Verify with National Park Service.,Drafted - needs final fact-check,
13,National Parks and Landmarks,"America 250 Quiz: Test yourself on parks, peaks and treasured places",7,Which national park protects a vast wetland ecosystem in Florida?,Everglades,Arches,Olympic,Shenandoah,A. Everglades,Everglades National Park protects one of the largest subtropical wilderness areas in the United States.,Verify with National Park Service.,Drafted - needs final fact-check,
13,National Parks and Landmarks,"America 250 Quiz: Test yourself on parks, peaks and treasured places",8,Which St. Louis landmark symbolizes westward expansion?,Gateway Arch,Space Needle,Bunker Hill Monument,Washington Monument,A. Gateway Arch,The Gateway Arch is part of Gateway Arch National Park and symbolizes westward expansion.,Verify with National Park Service.,Drafted - needs final fact-check,
13,National Parks and Landmarks,"America 250 Quiz: Test yourself on parks, peaks and treasured places",9,Which bell is associated with Philadelphia and American independence?,Liberty Bell,Centennial Bell,Freedom Bell,Union Bell,A. Liberty Bell,The Liberty Bell is an iconic symbol displayed in Philadelphia.,Verify with National Park Service.,Drafted - needs final fact-check,
13,National Parks and Landmarks,"America 250 Quiz: Test yourself on parks, peaks and treasured places",10,"Which memorial in Washington, D.C., honors the author of the Declaration of Independence?",Lincoln Memorial,Jefferson Memorial,Korean War Veterans Memorial,World War II Memorial,B. Jefferson Memorial,The Jefferson Memorial honors Thomas Jefferson.,Verify with National Park Service.,Drafted - needs final fact-check,
14,U.S. Symbols,"America 250 Quiz: Test yourself on flags, eagles and national emblems",1,What bird is the national emblem of the United States?,Wild turkey,Bald eagle,Peregrine falcon,Great blue heron,B. Bald eagle,The bald eagle appears on the Great Seal of the United States.,Verify with U.S. Fish and Wildlife Service; National Archives.,Drafted - needs final fact-check,
14,U.S. Symbols,"America 250 Quiz: Test yourself on flags, eagles and national emblems",2,How many stars are on the current U.S. flag?,48,50,51,52,B. 50,The 50 stars represent the 50 states.,Verify with Smithsonian; U.S. Flag Code resources.,Drafted - needs final fact-check,
14,U.S. Symbols,"America 250 Quiz: Test yourself on flags, eagles and national emblems",3,How many stripes are on the U.S. flag?,10,12,13,15,C. 13,The 13 stripes represent the original 13 colonies.,Verify with Smithsonian; National Archives.,Drafted - needs final fact-check,
14,U.S. Symbols,"America 250 Quiz: Test yourself on flags, eagles and national emblems",4,What is the national anthem of the United States?,America the Beautiful,The Star-Spangled Banner,"My Country, Tis of Thee",God Bless America,B. The Star-Spangled Banner,"Congress designated ""The Star-Spangled Banner"" as the national anthem in 1931.",Verify with Library of Congress.,Drafted - needs final fact-check,
14,U.S. Symbols,"America 250 Quiz: Test yourself on flags, eagles and national emblems",5,"Who wrote the words that became ""The Star-Spangled Banner""?",Francis Scott Key,Irving Berlin,Julia Ward Howe,Woody Guthrie,A. Francis Scott Key,Francis Scott Key wrote the poem after witnessing the bombardment of Fort McHenry in 1814.,Verify with Smithsonian; National Park Service.,Drafted - needs final fact-check,
14,U.S. Symbols,"America 250 Quiz: Test yourself on flags, eagles and national emblems",6,What is the national motto of the United States?,E Pluribus Unum,In God We Trust,Liberty and Union,We the People,B. In God We Trust,"""In God We Trust"" is the official national motto.",Verify with U.S. Treasury; National Archives.,Drafted - needs final fact-check,
14,U.S. Symbols,"America 250 Quiz: Test yourself on flags, eagles and national emblems",7,Which flower is the national flower of the United States?,Rose,Sunflower,Bluebonnet,Magnolia,A. Rose,The rose was designated the national floral emblem in 1986.,Verify with White House proclamation archives.,Drafted - needs final fact-check,
14,U.S. Symbols,"America 250 Quiz: Test yourself on flags, eagles and national emblems",8,Which tree is the national tree of the United States?,Maple,Oak,Redwood,Pine,B. Oak,The oak was designated the national tree after a public vote hosted by the Arbor Day Foundation.,Verify with Arbor Day Foundation; Congressional record if needed.,Drafted - needs final fact-check,
14,U.S. Symbols,"America 250 Quiz: Test yourself on flags, eagles and national emblems",9,"What phrase appears on the Great Seal and means ""out of many, one""?",Annuit Coeptis,E Pluribus Unum,Novus Ordo Seclorum,Semper Fidelis,B. E Pluribus Unum,"""E Pluribus Unum"" reflects unity from the states and people.",Verify with National Archives.,Drafted - needs final fact-check,
14,U.S. Symbols,"America 250 Quiz: Test yourself on flags, eagles and national emblems",10,Which monument honors the first U.S. president and is shaped like an obelisk?,Washington Monument,Lincoln Memorial,Jefferson Memorial,Bunker Hill Monument,A. Washington Monument,"The Washington Monument honors George Washington in Washington, D.C.",Verify with National Park Service.,Drafted - needs final fact-check,
15,Immigration,"America 250 Quiz: Test yourself on Ellis Island, newcomers and American dreams",1,Which New York Harbor island opened as a federal immigration station in 1892?,Ellis Island,Alcatraz,Mackinac Island,Roanoke Island,A. Ellis Island,Ellis Island processed millions of immigrants between 1892 and 1954.,Verify with National Park Service.,Drafted - needs final fact-check,
15,Immigration,"America 250 Quiz: Test yourself on Ellis Island, newcomers and American dreams",2,Which West Coast immigration station processed many Asian immigrants in the early 20th century?,Ellis Island,Angel Island,Governors Island,Liberty Island,B. Angel Island,"Angel Island in San Francisco Bay processed many immigrants, especially from Asia.",Verify with National Park Service; California State Parks.,Drafted - needs final fact-check,
15,Immigration,"America 250 Quiz: Test yourself on Ellis Island, newcomers and American dreams",3,Which statue became a symbol of welcome to immigrants arriving by ship?,Statue of Liberty,Washington Monument,Gateway Arch,Liberty Bell,A. Statue of Liberty,The Statue of Liberty stood near the route for many arrivals entering New York Harbor.,Verify with National Park Service.,Drafted - needs final fact-check,
15,Immigration,"America 250 Quiz: Test yourself on Ellis Island, newcomers and American dreams",4,"Which poem includes the line ""Give me your tired, your poor""?",The New Colossus,Paul Revere's Ride,Song of Myself,Concord Hymn,A. The New Colossus,"Emma Lazarus's poem ""The New Colossus"" is displayed at the Statue of Liberty.",Verify with National Park Service; Poetry Foundation.,Drafted - needs final fact-check,
15,Immigration,"America 250 Quiz: Test yourself on Ellis Island, newcomers and American dreams",5,Which law created the modern diversity visa lottery?,Immigration Act of 1990,Homestead Act,Dawes Act,Pendleton Act,A. Immigration Act of 1990,The Immigration Act of 1990 created the diversity immigrant visa program.,Verify with USCIS; State Department.,Drafted - needs final fact-check,
15,Immigration,"America 250 Quiz: Test yourself on Ellis Island, newcomers and American dreams",6,Which federal agency handles naturalization applications today?,NASA,USCIS,NOAA,FEMA,B. USCIS,U.S. Citizenship and Immigration Services administers naturalization and many immigration benefits.,Verify with USCIS.,Drafted - needs final fact-check,
15,Immigration,"America 250 Quiz: Test yourself on Ellis Island, newcomers and American dreams",7,What document proves a person has become a naturalized U.S. citizen?,Certificate of Naturalization,Social Security card,Selective Service card,Voter registration card,A. Certificate of Naturalization,A Certificate of Naturalization is issued to people who complete the naturalization process.,Verify with USCIS.,Drafted - needs final fact-check,
15,Immigration,"America 250 Quiz: Test yourself on Ellis Island, newcomers and American dreams",8,Which 1924 law set restrictive national-origin quotas for immigration?,Johnson-Reed Act,Morrill Act,Sherman Act,Volstead Act,A. Johnson-Reed Act,"The Johnson-Reed Act, or Immigration Act of 1924, created strict national-origin quotas.",Verify with State Department Office of the Historian.,Drafted - needs final fact-check,
15,Immigration,"America 250 Quiz: Test yourself on Ellis Island, newcomers and American dreams",9,"Which city was home to the settlement house Hull House, co-founded by Jane Addams?",Chicago,Boston,New York,Philadelphia,A. Chicago,Hull House in Chicago served immigrant communities and became a model settlement house.,Verify with National Park Service; Jane Addams Hull-House Museum.,Drafted - needs final fact-check,
15,Immigration,"America 250 Quiz: Test yourself on Ellis Island, newcomers and American dreams",10,What is the term for the legal process of becoming a U.S. citizen after birth?,Naturalization,Annexation,Ratification,Redistricting,A. Naturalization,Naturalization is the process by which eligible immigrants become U.S. citizens.,Verify with USCIS.,Drafted - needs final fact-check,
16,Westward Expansion,"America 250 Quiz: Test yourself on trails, territories and the American West",1,Which 1803 land deal doubled the size of the United States?,Gadsden Purchase,Louisiana Purchase,Alaska Purchase,Oregon Treaty,B. Louisiana Purchase,The Louisiana Purchase added a vast territory west of the Mississippi River.,Verify with National Archives.,Drafted - needs final fact-check,
16,Westward Expansion,"America 250 Quiz: Test yourself on trails, territories and the American West",2,Who led the expedition that explored the Louisiana Purchase?,Lewis and Clark,Fremont and Carson,Boone and Crockett,Pike and Long,A. Lewis and Clark,Meriwether Lewis and William Clark led the Corps of Discovery.,Verify with National Park Service; Library of Congress.,Drafted - needs final fact-check,
16,Westward Expansion,"America 250 Quiz: Test yourself on trails, territories and the American West",3,Which Native American woman assisted the Lewis and Clark Expedition?,Pocahontas,Sacagawea,Sequoyah,Sarah Winnemucca,B. Sacagawea,Sacagawea served as an interpreter and guide during parts of the expedition.,Verify with National Park Service.,Drafted - needs final fact-check,
16,Westward Expansion,"America 250 Quiz: Test yourself on trails, territories and the American West",4,Which trail carried many settlers from Missouri toward the Pacific Northwest?,Oregon Trail,Natchez Trace,Santa Fe Trail,Chisholm Trail,A. Oregon Trail,The Oregon Trail became a major overland route for westward migrants.,Verify with National Park Service.,Drafted - needs final fact-check,
16,Westward Expansion,"America 250 Quiz: Test yourself on trails, territories and the American West",5,Which 1862 law offered land to settlers willing to improve it?,Homestead Act,Dawes Act,Morrill Act,Kansas-Nebraska Act,A. Homestead Act,The Homestead Act offered eligible settlers land if they lived on and improved it.,Verify with National Archives.,Drafted - needs final fact-check,
16,Westward Expansion,"America 250 Quiz: Test yourself on trails, territories and the American West",6,Which railroad was completed with a golden spike in Utah in 1869?,Transcontinental Railroad,Baltimore and Ohio Railroad,Erie Railroad,Underground Railroad,A. Transcontinental Railroad,"The first transcontinental railroad was completed at Promontory Summit, Utah.",Verify with National Park Service.,Drafted - needs final fact-check,
16,Westward Expansion,"America 250 Quiz: Test yourself on trails, territories and the American West",7,Which phrase expressed the 19th-century belief that U.S. expansion across the continent was destined?,Popular Sovereignty,Manifest Destiny,Good Neighbor Policy,Open Door Policy,B. Manifest Destiny,Manifest Destiny was used to describe the idea of continental expansion.,Verify with Library of Congress.,Drafted - needs final fact-check,
16,Westward Expansion,"America 250 Quiz: Test yourself on trails, territories and the American West",8,Which purchase added land in present-day southern Arizona and New Mexico?,Gadsden Purchase,Louisiana Purchase,Alaska Purchase,Florida Purchase,A. Gadsden Purchase,The Gadsden Purchase of 1853 added land useful for a southern railroad route.,Verify with State Department Office of the Historian.,Drafted - needs final fact-check,
16,Westward Expansion,"America 250 Quiz: Test yourself on trails, territories and the American West",9,Which territory was jointly occupied by the United States and Britain before an 1846 treaty set the boundary?,Oregon Country,Florida Territory,Northwest Territory,Hawaii,A. Oregon Country,The Oregon Treaty set the U.S.-British boundary at the 49th parallel in the Pacific Northwest.,Verify with State Department Office of the Historian.,Drafted - needs final fact-check,
16,Westward Expansion,"America 250 Quiz: Test yourself on trails, territories and the American West",10,Which 1848 discovery accelerated migration to California?,Gold at Sutter's Mill,Oil in Texas,Silver in Nevada,Copper in Montana,A. Gold at Sutter's Mill,The discovery of gold at Sutter's Mill sparked the California Gold Rush.,Verify with Library of Congress; California State Parks.,Drafted - needs final fact-check,
17,Civil Rights,"America 250 Quiz: Test yourself on rights, reformers and landmark victories",1,Which Supreme Court decision declared school segregation unconstitutional?,Plessy v. Ferguson,Brown v. Board of Education,Dred Scott v. Sandford,Korematsu v. United States,B. Brown v. Board of Education,Brown v. Board of Education held that segregated public schools were unconstitutional.,Verify with U.S. Supreme Court; National Archives.,Drafted - needs final fact-check,
17,Civil Rights,"America 250 Quiz: Test yourself on rights, reformers and landmark victories",2,"Who refused to give up her bus seat in Montgomery, Alabama, in 1955?",Rosa Parks,Ida B. Wells,Fannie Lou Hamer,Ella Baker,A. Rosa Parks,Rosa Parks's arrest helped spark the Montgomery Bus Boycott.,Verify with National Archives; Library of Congress.,Drafted - needs final fact-check,
17,Civil Rights,"America 250 Quiz: Test yourself on rights, reformers and landmark victories",3,"Who delivered the ""I Have a Dream"" speech?",Malcolm X,Martin Luther King Jr.,John Lewis,A. Philip Randolph,B. Martin Luther King Jr.,Martin Luther King Jr. delivered the speech at the 1963 March on Washington.,Verify with National Archives; King Institute.,Drafted - needs final fact-check,
17,Civil Rights,"America 250 Quiz: Test yourself on rights, reformers and landmark victories",4,Which law outlawed segregation in many public places and banned employment discrimination?,Civil Rights Act of 1964,Voting Rights Act of 1965,Fair Housing Act of 1968,Morrill Act,A. Civil Rights Act of 1964,The Civil Rights Act of 1964 was landmark federal civil rights legislation.,Verify with National Archives; DOJ.,Drafted - needs final fact-check,
17,Civil Rights,"America 250 Quiz: Test yourself on rights, reformers and landmark victories",5,Which law targeted discriminatory voting practices such as literacy tests?,Civil Rights Act of 1964,Voting Rights Act of 1965,Homestead Act,Pendleton Act,B. Voting Rights Act of 1965,The Voting Rights Act of 1965 strengthened federal protections for voting rights.,Verify with National Archives; DOJ.,Drafted - needs final fact-check,
17,Civil Rights,"America 250 Quiz: Test yourself on rights, reformers and landmark victories",6,Which amendment gave women the right to vote nationwide?,15th Amendment,18th Amendment,19th Amendment,21st Amendment,C. 19th Amendment,The 19th Amendment was ratified in 1920.,Verify with National Archives.,Drafted - needs final fact-check,
17,Civil Rights,"America 250 Quiz: Test yourself on rights, reformers and landmark victories",7,"Who was a leading abolitionist and author of ""Narrative of the Life of Frederick Douglass""?",Frederick Douglass,Booker T. Washington,W.E.B. Du Bois,Sojourner Truth,A. Frederick Douglass,Frederick Douglass escaped slavery and became a powerful abolitionist writer and speaker.,Verify with Library of Congress; National Park Service.,Drafted - needs final fact-check,
17,Civil Rights,"America 250 Quiz: Test yourself on rights, reformers and landmark victories",8,Which activist founded the National Farm Workers Association with Dolores Huerta?,Cesar Chavez,Thurgood Marshall,Bayard Rustin,Medgar Evers,A. Cesar Chavez,Cesar Chavez and Dolores Huerta organized farmworkers and later helped build the United Farm Workers.,Verify with National Park Service; UFW history.,Drafted - needs final fact-check,
17,Civil Rights,"America 250 Quiz: Test yourself on rights, reformers and landmark victories",9,Who became the first Black justice on the U.S. Supreme Court?,Thurgood Marshall,Clarence Thomas,William H. Hastie,Charles Hamilton Houston,A. Thurgood Marshall,Thurgood Marshall joined the Supreme Court in 1967 after a career as a civil rights lawyer.,Verify with U.S. Supreme Court; Library of Congress.,Drafted - needs final fact-check,
17,Civil Rights,"America 250 Quiz: Test yourself on rights, reformers and landmark victories",10,Which 1965 march route went from Selma to Montgomery?,Voting rights march,Bonus Army march,Poor People's Campaign,Freedom Summer,A. Voting rights march,The Selma to Montgomery marches helped build support for the Voting Rights Act.,Verify with National Park Service; National Archives.,Drafted - needs final fact-check,
18,Literature,"America 250 Quiz: Test yourself on authors, novels and American words",1,"Who wrote ""The Adventures of Huckleberry Finn""?",Mark Twain,Ernest Hemingway,Walt Whitman,Nathaniel Hawthorne,A. Mark Twain,Mark Twain published the novel in the 1880s.,Verify with Library of Congress.,Drafted - needs final fact-check,
